id,name,text,bookPage,completed,prayerorder_id
1,ГОСПОДНЯТА МОЛИТВА,"Отче наш, Който си на Небесата, да се свети  Името Твое, да дойде Царството Твое, да бъде Волята Твоя, както на Небето, така и на Земята.
Хлябът наш насъщний, дай го нам днес и прости ни дълговете наши, както и ние прощаваме на нашите длъжници.
Не ни въвеждай в изкушение, но избави нас от лукаваго, защото е Твое Царството и Силата, и Славата завинаги.
Амин.

Ученикът трябва да се моли, за да бъде силен и да няма изкушение за него. „И не веди нас во изкушение“ – това значи: Давай ни, Господи, знание и Мъдрост, за да не би ние с нашето невежество да паднем в изкушение.
„Свещени думи на Учителя“, стр. 69",5,false,0
2,ДОБРАТА МОЛИТВА,"Господи, Боже наш, Благий ни Небесен Баща, Който Си ни подарил живот и здраве, за да Ти се радваме, молим Ти се, изпроводи ни Духът Си да ни пази и закриля от всяко зло и лукаво помишление.
Научи ни да правим Твоята Воля, да осветяваме Твоето Име и да Те славо­словим винаги.
Осветявай духът ни, просвещавай сърцата ни и умът ни, да пазим Твоите заповеди и повеления.
Вдъхвай в нас с присъствието Си чистите Си мисли и ни упътвай да Ти служим с радост.
Животът си, който посвещаваме на Тебе, за доброто на нашите братя и ближни, Ти благославяй.
Помагай ни и съдействай ни да растем във всяко познание и мъдрост, да се учим от Твоето Слово и да пребъдваме в Твоята Истина.
Ръководи ни във всичко, което мислим и вършим за Твоето Име, да е за успеха на Царството Ти на Земята.
Храни душите ни с Небесния Си хляб и укрепявай ни със силата Си, за да успяваме в живота си.
Като ни даваш всичките Твои благословения, приложи и Любовта Си, да ни е вечен закон. 
Защото на Тебе принадлежи и Царст­во­то, и Силата, и Славата завинаги.
Амин.

Добрата молитва е обща не само за човечеството, но за цялата Вселена, за всички ангели, архангели, началства, власти, сили.
Добрата молитва като прочетеш, с нея можеш да минеш навсякъде. Тя е един пропуск.
Учителя",6,false,0
3,МОЛИТВА НА БРАТСТВОТО,"Господи, благослови Всемирното Бяло Братство, което сега присъства меж­ду бъл­гарите и славянството. Укрепи Духа му.
Дай вяра, упование и  надежда в Тебе на тия, които следват Твоя път, да се съвземат и да Те славят през всичките векове на бъдещето.
Стори, Господи, Боже наш, това заради Великото Си Име, с което си знаен през всичките векове горе на Небето и долу на Земята.
Направи да се освети Името Ти пред всички ония, които спъват Твоето свято Дело, и да знаят, че Ти си само Един, в Когото няма измяна и Който си всякога силен да помагаш и да избавяш.
Разпръсни враговете на Твоето Царство, Господи, от пред Лицето Си, и ние ще Те славим с чисто сърце, когато ни помогнеш и превъзмогнеш да прогоним лукавите духове на ада, които искат да развалят Твоето свято дело.
Ти, Господи, сам действай сега с крепката Си ръка.
Стори това заради Господа нашего Исуса Христа, чрез Което Име Ти си благоволил да Те призоваваме.
Нека управляващите в този народ да познаят, че няма друг Господ и Бог освен Тебе. Ти си само Един.
Амин.",8,false,0
4,МОЛИТВА НА ДУХА СВЯТ,"Господи, Боже мой, душата ми на Теб уповава. Послушай молбата ми и дай внимание на молението ми. Повдигни духа ми и дай утеха на сърцето ми. Покажи ми виделината на Твоето Лице.
Господи, заради Твоята Милост, под­крепи ме с присъствието на Твоя свят Дух.
Господи, да дойде Твоето Царство, да възлезе Твоята Правда, да възсияе Твоята Истина, да се въдвори Твоята Любов и да се вселиш Ти, Господи, Исусе Христе, Единият Син на Бога Живаго в моята душа.
И да бъде слава на Господа Бога Отца, изявен в Духа на Своето Слово през всичките векове.
Амин.",9,false,0
5,МАЛКАТА МОЛИТВА,"Господи, Боже мой,
направи ме да видя Твоето Лице.
Развесели ме заради Името Си.
Благослови ме заради
Милостта Си.
Освети ме заради Духа Си.
Въздигни ме заради Словото Си.
Помогни ми заради
Обещанието Си.
Ръководи ме заради Истината Си.
Крепи ме заради Правдата Си.
И бъди благословен,
Господи, всякога,
защото си благ и истинен
към всички.
Амин.",10,false,0
6,МОЛИТВА НА ЦАРСТВОТО,"Господи, Боже наш, да възлезе молба­та ни пред Твоето Лице. Да дойде Духът Ти и да прозябне Словото Ти в нашите сърца заради Любовта Ти, с която си ни възлюбил.
Благий Небесен Баща, Авва Отче, да дойде Твоето Царство, да бъде Твоята Воля, да се освети Твоето Име на земята, това и желае нашата душа. Това е нуждата, която постоянно усещаме в тоя свят. 
Великий  Господи на всяка сила и крепост, застани за делото Си.  Приклони сърцата на всички, които си избрал да се назоват начатък на Твоята Слава и Величие.
Благий Господи наш, ръководи ни с милостивата Си ръка, просвещавай ни, да се не уклоняваме от Словото Ти, да не престъпваме Закона Ти.
Води ни като добър пастир при зелените пасища, при бистрите отоци.
Единият Ти, Господ и Спасител на света, знаен преди всичките векове на светлината, Един в зарящата виделина на нашия живот, благоволи да разшириш нашата душа, да възрастиш нашия дух, да възродиш нашето сърце, да просветиш нашия ум, да можем да Те славим сега и всякога.
Амин.",11,false,0
7,ПЪТЯТ НА ЖИВОТА,"Господи, Боже, Спасителю наш, на всяка сила и крепост, на всяка Истина и Любов, на всяко държавие и власт, извор на всички добрини в живота ни, изпроводи ни благия Си Дух да ни ръководи и крепи в Пътя на Живота, да ни просвещава умовете, да ни озарява сърцата, да ни дава сила и живот да струваме добрата Ти Воля.
Прости прегрешенията ни, които изповядваме пред Теб, те ни отдалечиха от Твоята бащинска Любов. Изличи ги от книгата на Твоите възпоменания и ни дарувай мира на Твоя Дух.
Направи сега да просветне Лицето Ти върху нас, да сме образ на Твоята Любов, вестители на Твоята Истина и служители на Твоята Правда.
Благослови тоя народ, между кой­то живеем. Благослови нашите братя и сестри, с които се подвизаваме. Благосло­ви всички майки и бащи, които вършат Твоята Воля. Чуй гласа на всички стра­ду­ющи по лицето на Земята и ги благослови.
Благослови Учителя ни, Който ни води в Твоя Път. Благословен си Ти, Господи, Боже наш. Благословено е Твоето Име от веки, защото Ти си Пътят, Истината и Животът и освен Теб няма друг Бог. Ти си само Един.
Амин.",12,false,0
8,"МОЛИТВА
ЗА ПЛОДОВЕТЕ НА ДУХА","Господи на обичта, Боже на Любов­та, ние Те призоваваме в Твоята Милост. Приемаме страданията, които ни из­пращаш, с радост в нашето сърце. Прие­ма­ме мъчнотиите, които ни допущаш, за уякчаването на нашия дух. Ние без колебание, без двоумение ще изпълним Твоята блага Воля.
Изпрати ни Твоя Дух да внесе в нашите сърца, в нашите умове, в нашите души плода на Любовта, благото на Радостта и Мира, основата на Твоето търпение и милосърдие.
Дарувай ни дара на вярата, кротост- та и въздържанието.
Благослови ни, както си ни благо­славял винаги. Направи Името Си нам мило на душите. Въдвори Царството Си в нашите души. Храни душите ни с Твоето Слово, да укрепнат в нас всичките Твои добродетели. Нека Твоите Светли Духове на Обичта, Вярата и Надеждата да пребъдват в нас сега и всякога заедно с Тебе.
Възнасяме хвала, слава на Теб, Единнаго, Господ и Бог на Великата Жертва.
Амин.",14,false,0
9,МОЛИТВА НА ИЗБРАНИТЕ,"Господи, благослови тоя народ, укрепи го, повдигни го, дай му мъжество. Окрили духа му, дай му вяра, упование, надежда в Тебе, да се съвземе и да Те слави през всичките векове на бъдещето.
Стори, Господи, Боже наш, това заради Великото Си Име, с което си знаен през всичките векове.
Направи да се освети Името Ти пред всички народи и да знаят, че Ти си само Един, в Когото няма измяна и Който си всякога силен да помагаш и да избавяш.
Разпръсни враговете ни, Господи, отпред Лицето Си, и ние ще Те славим с чисто сърце, когато ни помогнеш и превъзмогнеш против лукавите духове на ада, които искат да развалят Твоето дело.
Ти, Господи, сам действай сега с крепката Си ръка. Стори това заради Господа нашего Исуса Христа, чрез което Име Ти си благоволил да Те призоваваме. 
Амин.",15,false,0
10,"МОЛИТВА
НА ТРИЕДИННИЯ БОГ","I. Господи, да дойде Твоят Дух върху моя дух.
Да изпълни сърцето ми и душата ми с Твоето присъствие.
И да укрепи нозете ми във всяка правда.
Покланям се пред Вечната Канара, от която съм отсечен. Благословено е Твоето Име, Господи.
Укрепи ме и въздигни ме, за да Ти служа с веселие.
II. Господи, Боже мой, да дойде Твоят Дух и да просвети ума ми.
Да освети сърцето ми и да изпълни душата ми с всяка радост и веселие.
Покланям се пред Теб, Вечния Извор, Който всякога си ме поил. Умий нозете ми, измий сърцето ми, избели душата ми, за да съм чист и свят пред Тебе.
Благословен си Ти, Господи, Боже мой.
III. Господи, Боже мой, да дойде Твоето благоволение върху моя дух.
Да изпълни сърцето ми и душата ми с благите плодове на Духа. Да утвърди нозете ми в силата  на Твоето присъствие.
Покланям се пред Твоя Вечен Дух, Който ме оживява и възкресява из мъртвите.
Пази ме, Господи, със Святото Си Име, за да Ти служа с радост и веселие, и да бъда едно с Теб, Господи Исусе Христе, както Ти с Отца. 
Амин.",16,false,0
